model,method,train_size,AUC,KS,PR_AUC,P_ks,R_ks,F1_ks,P_f1,R_f1,F1_f1
LogReg,无处理,199364,0.9565,0.8444,0.7499,0.0514,0.8514,0.0969,0.8154,0.7162,0.7626
RandomForest,无处理,199364,0.9684,0.8601,0.8271,0.0206,0.8919,0.0402,0.95,0.7703,0.8507
LightGBM,无处理,199364,0.904,0.8232,0.7373,0.5545,0.8243,0.663,0.9434,0.6757,0.7874
XGBoost,无处理,199364,0.9658,0.8532,0.8401,0.0748,0.8514,0.1376,0.8939,0.7973,0.8429
LogReg,类别权重,199364,0.968,0.8639,0.7929,0.0798,0.8649,0.1461,0.9062,0.7838,0.8406
RandomForest,类别权重,199364,0.9297,0.8588,0.8221,0.1749,0.8649,0.2909,0.963,0.7027,0.8125
LightGBM,类别权重,199364,0.901,0.8258,0.347,0.1075,0.8378,0.1905,0.4318,0.7703,0.5534
XGBoost,类别权重,199364,0.944,0.8546,0.7402,0.0515,0.8649,0.0972,0.8689,0.7162,0.7852
LogReg,欠采样,688,0.9693,0.8667,0.5286,0.0905,0.8649,0.1639,0.5568,0.6622,0.6049
RandomForest,欠采样,688,0.9762,0.8498,0.7388,0.0217,0.9054,0.0424,0.8833,0.7162,0.791
LightGBM,欠采样,688,0.9644,0.854,0.6704,0.0344,0.8784,0.0662,0.8525,0.7027,0.7704
XGBoost,欠采样,688,0.9686,0.8608,0.6938,0.0602,0.8649,0.1126,0.8983,0.7162,0.797
LogReg,过采样,398040,0.9671,0.861,0.7882,0.0729,0.8784,0.1346,0.931,0.7297,0.8182
RandomForest,过采样,398040,0.9509,0.8771,0.8222,0.0526,0.9054,0.0995,0.9322,0.7432,0.8271
LightGBM,过采样,398040,0.9669,0.8664,0.7725,0.0449,0.8919,0.0855,0.8485,0.7568,0.8
XGBoost,过采样,398040,0.9535,0.8627,0.7422,0.0384,0.8919,0.0736,0.8033,0.6622,0.7259
LogReg,SMOTE,398040,0.9671,0.8558,0.7963,0.0654,0.8649,0.1217,0.931,0.7297,0.8182
RandomForest,SMOTE,398040,0.9774,0.8707,0.8189,0.0372,0.8784,0.0714,0.9492,0.7568,0.8421
LightGBM,SMOTE,398040,0.971,0.852,0.7805,0.0357,0.8784,0.0686,0.871,0.7297,0.7941
XGBoost,SMOTE,398040,0.9493,0.8686,0.7314,0.027,0.8919,0.0524,0.8769,0.7703,0.8201
